,tweet,bias
0,"RT @TevonBlair: CALLING ALL BLACK PEOPLE TO TWITTER: We have a debate to watch.
",N
0,"RT @rgay: Does Chris Wallace plan on moderating the debate or will he just let Trump trump his way through the debate?
",L
0,"RT @SandbergEmmet: Watching this debate is how I imagine it feels to be a woman in a poli sci class
",N
0,"RT @JimGaffigan: Somehow Trump is getting 3rd place in this 2 person debate. #Debates2020 #debates
",L
0,"RT @WilsonNoWorries: Trump just doing whatever the hell he wants in this debate and the moderator is just rolling with it.
",L
0,"RT @wpdeabc15: WEIGH IN: Which candidate do you think is doing better in the debate so far? https://t.co/qmv0yJu7PO https://t.co/DO1yxXsInO
",N
0,"RT @MohamadZoror: this debate is lowering my IQ
",N
0,"It hurts watching this debate
",N
0,"Looks like 45 got a fresh coat of paint for tonight. #debate
",N
0,"The debate is between 
",The provided text is incomplete. It doesn't contain enough information to assess its bias. Please provide a complete sentence or paragraph.
0,"RT @JLCauvin: Trump is incredibly stupid and incredibly arrogant. Worst possible combo for a leader on full display.
",L
0,"RT @OMGItsBirdman: This debate sound like a call of duty lobby
",N
0,"RT @JPasette: there are more rules during a kindergarten zoom class than during this debate #PresidentialDebate
",N
0,"RT @GinSodaLime: A recap of the first 15 minutes of this debate: #DebateNight https://t.co/oEX3envfru
",N
0,"If they don't follow the debate format, cut the mic.
",N
0,"Is this a debate between Chris Wallace and Trump or Biden and Trump
",R
0,"My one thought from watching this debate: I wish we had a better option. 
",N
0,"I think the grumpy old man debate in America broke Twitter. #Debates2020
",N
0,"RT @kimacquaviva: I wish @maddow were moderating this debate.
",L
0,"@BuckSexton @sbwaverider softball reactions the best is coming by the last debate where it will be epic
",N
0,"RT @acacialotusart: live stream your debate comments here (please):
",N
0,"RT @TheBabylonBee: Trump Throws Biden Off His Game By Wearing Luscious Women's Wig To Debate https://t.co/aVMkHKWMjb
",R
0,".... honestly ....
","The tweet content is not provided, so it's impossible to determine any bias. Kindly provide the context or content of the tweet."
0,"RT @NaomiBiden: Why is the Trump family allowed to not wear masks in the debate hall while everyone else follows the rules?
",L
0,"RT @ira: Is @THEHermanCain live tweeting the debate
",N
0,"RT @sbg1: ""Will you shut up man? This is so unpresidential""
",L
0,"RT @_Snape_: Retweet if I should moderate the next debate.
",N
0,"@funder Lmao, what? You actually watching the debate??
",N
0,".@realDonaldTrump after the debate can you stream fortnite duos
",N
0,"RT @brianhenry63: Chris Wallace is losing this debate. 
",N
0,"Trump is a bottom feeder. He peddles in lies, fear and distractions. Disgusting. #debate
",L
0,"RT @JrWave19: Nigga how you tweeting during a debate?
",N
0,"RT @honzogonzo: at least 95% of americans would prefer this style of debate https://t.co/gg4ub42R1t
",N
0,"man... this presidential debate...
",N
0,"RT @_brna_s: wonder what deschenes is thinking about this debate
",N
0,"RT @lovable_ish: Bernie Sanders trending during this debate should tell you something #Debates2020 https://t.co/5tz9wYIhCn
",L
0,"RT @Mikel_Jollett: It would be nice if this debate had a moderator.
",N
0,"RT @aparnapkin: This debate is unfortunately between a steamroller with no operator &amp; a Roomba that got stuck in a corner
",N
0,"RT @amberasalyy: this debate feels like an SNL skit
",N
0,"@morethanmySLE This debate is ridiculous.  Trump is such an idiot and liar.  He has no manners.
",L
0,"This debate feels like the tell-all episode of a reality tv show you gotta love the #Debates2020
",N
0,"Debate Twitter &gt; actually watching the debate.
",N
0,"Facts.
",N
0,"I keep going back and forth to the debate. Joe basically said the same thing each time.
",R
0,"RT @JamesDash: This debate is stripping me of my sanity at an alarming rate
",N
0,"RT @saysahr: This debate is going to lead me to heavy adderall and alcohol abuse.
",N
0,"When @JoeBiden talks directly into the camera... i want to call him paw paw and it makes me feel safe and I like it #Debates2020 #Debate
",L
0,"RT @DailyTrix: Chris Wallace is controlling this debate nearly as well as Trump is controlling the pandemic.
",L
0,"RT @sgarretteskin: this is more like a real housewives reunion than a debate lol
",N
0,"RT @Pamaj: idk how ya'll are handling this debate but this feels like SnL
",N
0,"RT @aparnapkin: DEBATE DRINKING GAME: Drink every time all the time
",N
0,"Chris Wallace does not know how to ""manage"" a debate. Never again. Horrible. @FoxNewsSunday
",N
0,"trump and biden when Jeb! gets on stage and owns them both in the debate #debates https://t.co/uCLO0MlhbR
",N
0,"RT @TheBabylonBee: Cutting Out The Middleman: Dems Will Just Have Trump Debate Biden's Teleprompter Directly https://t.co/x4QbTXDZdy
",R
0,"RT @MaryLTrump: Apparently racism is totally cool at this debate.
",L
0,"RT @BBW_BFF: watching this debate https://t.co/5Qk68h8lRn
",N
0,"RT @kiandre_23: The debate right now https://t.co/1yOoRlwdEq
",N
0,"@CRNC An ice cream company based in Ohio. You know, where the debate is. Get it?
",N
0,"RT @peterdaou: Is this really the best America can do in 2020?????
",N
0,"THIS MF FR TWEETING DURING THE FUCKING DEBATE
",N
0,"Christine will Not enter the room while the debate is on which is both annoying and also pretty fair
",N
0,"RT @lorieliebig: this debate has big Jerry Springer vibes
",N
0,"Debate update the President just said he brought back Big Ten Football himself. This is America one of his biggest achievements
",R
0,"RT @glassbottommeg: Instead of the debate I'm just gonna watch Queso WOO for 45 minutes. https://t.co/0Y8sBCc9iV
",N
0,"This debate is making me want to slap myself
",N
0,"RT @DKThomp: This isn't a debate. It's a DDOS attack happening in front of a human moderator.
",N
0,"I want to punch trump every fucken second of this debate
",L
0,"RT @JacksonRickun: This debate is what you see when you actually inject bleach into your veins
",L
0,"@megan1mitchell this debate is terrible.  Donald acts like a spoiled child.  joe is too passive.  joe needs to get into his face
",N
0,"Sitting with my kindergarten teacher wife who said the same thing.
",N
0,"This debate is a colossal waste of time.
",N
0,"RT @ChristianWalk1r: The tax return drop was just for the debate
",N
0,"@SkrilJay He is the worst thing about this debate.
",N
0,"How do you even debate this?
",N
0,"me and a v pretty girl are watching the debate and talking ab it together ah yes i love pretty girls
",N
0,"LS will be moderating the next debate.
",N
0,"not watching the debate is my form of self-care for tonight
",N
0,"I agree, Steve.  What the heck, #ChrisWallace?
",N
0,"Me NOW watching the debate... https://t.co/uNN0C0UyEJ
",N
0,"RT @MidwinCharles: Chris Wallace should never be let anywhere near a debate again.
",L
0,"RT @SheaSerrano: here is my official statement tonight regarding tonight's presidential debate https://t.co/ty6dBJh5kl
",N
0,"This debate is insane #Debates2020
",N
0,"I hope this debate moderator snaps back.. you can tell he getting annoyed by being bullied
",N
0,"okay i'm finished with this debate lemme look at pictures of shownu now
",N
0,"in case anyone not watching is wondering how the debate is going https://t.co/T4nYo3N1vV
",N
0,"this debate is so fucking funny lol bye
",N
0,"RT @tomwatson: Honestly, ""Will you shut up, man?"" is going down in presidential debate history along with with Nixon's beard. Iconic.
",L
0,"RT @janemarielynch: I thought this debate was going to have a moderator
",N
0,"So far the only one winning this debate is Chris Wallace. Kudo's to him.
",N
0,"Be sure to follow @NPR for fast fact checking of statements by both candidates.
",N
0,"watching the debate all I can say is ..... this country is so screwed.
",N
0,"These two people basically stand for the same. What is there to debate about?
",N
0,"i can hear the debate in the other room... just gotta take 3 tests... rq... then i can watch it...
",N
0,"RT @TAINA525: This debate is another illustration of who this pendejo is! https://t.co/6UWjUirORZ
",L
0,"What time is this debate over!?!?
",N
0,"I know 16 girls from my high school that would make Trump and Biden cry in a debate
",N
0,"RT @UFWupdates: This is no joke.
",N
0,"who had Trump claiming smart people commit tax fraud on their debate bingo
",L
0,"RT @FaithGoldy: THIS IS EXACTLY WHY THE BIDEN CAMP DIDNT WANT A DEBATE
",R
0,"This debate is fucking sham. Like Chris Wallace is an awful moderator.
",N
0,"If people actually WATCH this whole debate they will see how stupid this man trump is, and narcissistic he is, ITS FUCKING SHOCKING
",L
0,"Has a debate ever been declared a state of emergency?
",N
0,"RT @RealLyndaCarter: Trump would like to speak to the manager of this debate. #Karen #Debates2020
",L
0,"RT @SayyTheName_: This debate https://t.co/IttOd2b7zC
",N
0,"This debate so far... https://t.co/eSjpsQK6hp
",N
0,"A dat.. the red necks are falling in love all over again
",R
0,"Every other country watching Trump and Biden debate https://t.co/3VniMoYOva
",N
0,"RT @GFJacobs: ""I was a private business people""
",N
0,"Nigga how r u tweeting rn ur in the debate?
",N
0,"@JoeBiden How are you tweeting during the debate Joe?
",N
0,"@HiddenLotvs He basically opened the debate with it.
",N
0,"RT @noitskatelyn: sir... um... sir... you are supposed to debate the candidate not the moderator
",L
0,"Joe Biden winning Donald Trump in the first Presidential debate 2020 USA Election
",N
0,"This debate is like a love and hip hop reunion show! #mutetrump
",L
0,"this debate is pitiful
",N
0,"Show us your taxes! #debate #Debates2020 #TrumpTaxReturns #PresidentialDebate2020 #TrumpTaxes
",L
0,"RT @JustinTinsley: Jenifer Lewis gotta moderate the second debate.
",N
0,"Guys, how do I get my name on the debate moderators list?
",N
0,"what happened to joe rogan hosting the debate? this guy has no spine
",R
0,"This debate is like watching a real life version of a Twitter thread. Pure chaos and gets off the rails immediately. I love it.
",N
0,"RT @HannahDrake628: A Black woman could have moderated the hell out of this debate. All that over talking. Nope. https://t.co/7D1fslyJgY
",L
0,"chris evans watching the debate https://t.co/9sNJaAIMlZ
",N
0,"RT @jsolomonReports: Watch Joe Curl, former Drudge Report editor, live-blog the debate on Just the News. https://t.co/vGE4JANPZP
",N
0,"RT @2dJazz: Let me moderate the debate. Chris wallace a bitch lmao
",L
0,"This debate is like an episode of the office
",N
0,"RT @MollyJongFast: You know, Trump could have used some debate prep.
",L
0,"Trump must think this is a debate against the moderator 
",L
0,"RT @deeallalong: This President vs. Moderator debate is AWFUL
",N
0,"RT @RickStrom: Trump at the debate. https://t.co/ldTb4M7i35
",N
0,"RT @EdwardTHardy: What debate are you watching? Joe Biden is laughing at Donald Trump
",L
0,"RT @PeterSweden7: Who do you feel is winning the debate so far?
",N
0,"RT @mcspocky: tRump can't follow debate rules,
",L
0,"came out of the shower with all my friends texting me in a frenzy about the debate....
",N
0,"I feel bad for the guy asking the question in the debate
",N
0,"Imagine watching this debate without alcohol to get you through it?
",N
0,"RT @LeonaLioness6: I don't think I've ever witnessed a debate like this in my 32 years of life.
",N
0,"@PattyArquette preach sorry the debate is covering half my page
",N
0,"Yeah because your ""candidate"" is getting bodied right now.
",N
0,"Watching the perverts debate tonight
","The text doesn't specify towards which political side it is commenting, therefore the bias cannot be definitively determined. Please provide more specific context."
0,"RT @GravelInstitute: First debate where one candidate told another to shut up. This rocks.
",N
0,"man I feel sorry for students who are forced to watch the debate for homework
",N
0,"RT @Janay_1021: @TonyPerkinsFMTV Perfectly said. This is a debate fitting of the year 2020.
",N
0,"RT @cvaldary: Every tweet right now confirms I made the right decision in not watching the debate.
",N
0,"Omfg.... #Trump is a fucking loser.
",L
0,"@pleizar I hadn't seen the debate yet.
",N
0,"Biden staring at Trump kinda slack-jawed
",R
0,"RT @JohnKerry: You'll have to inspect a lot lower than the ears to find where the president will be pulling his answers out of tonight.
",L
0,"RT @FO_ASchatz: The second presidential debate goes up against Patrick Mahomes vs. Josh Allen and I think I will Iike that better.
",N
0,"tl live tweeting the debate is making me think of this https://t.co/oDroAcmVYZ
",N
0,"Did thiiiiiis mfgga just say ""I brought back football"" to earn cool points in a fuggin...PRESIDENTIAL DEBATE!?
",L
0,"RT @SamSeaborn: Chris Wallace needs to control this debate. Stop Trump talking. #Debates2020
",L
0,"@SMOLYOONGiiiiii the presidential debate
",N
0,"@ABC Trump is an outright idiot! Trying to run the debate!All kudos to the moderator!
",L
0,"RT @immolations: the trump biden debate: https://t.co/agXhQ7YyPf
",N
0,"RT @ohheyitsgrey: this debate is a fucking joke and its only ten minutes in
",N
0,"its scary to me that the most well spoken person in the presidential debate was the moderator
",N
0,"RT @kcsguys: #Debates2020
",N
0,"RT @GravelInstitute: Chris Wallace has got to be one of the worst debate moderators of all time.
",L
0,"RT @JenniferJJacobs: Hours before the debate, a Trump camp email goes out: ""I just finished debating Joe Biden."" https://t.co/4OHQLmLDv9
",N
0,"This debate should have been a Zoom
",N
0,"RT @kaitelouwhoo: when both Joe and Trump speak at the same time the debate takes a screen shot
",N
0,"RT @TheDailyShow: Adorable! Moderator makes list of topics for debate as if Trump isn't going to rant about how dishwashers cause smallpox
",L
0,"RT @greenfield64: I think --IF there's a next debate--the moderator has to be able to cut off the mic of whoever is interrupting.
",N
0,"RT @genszen: According to my timeline, this debate is going fabulously. https://t.co/B7rRLOn2w3
",N
0,"RT @KeepItFiveStar: This debate right now. #Debates2020 https://t.co/IYyGZ6Km23
",N
0,"THIS IS THE PRESIDENTIAL DEBATE YALL ARE WATCHING????
",N
0,"Why am I watching this debate
",N
0,"OMG Trump keeps arguing with the moderator. Shut the hell up and debate like an adult, you absolute baby.
",L
0,"Holy shit this debate is
",N
0,"why am i even watching the presidential debate
",N
0,"this presidential debate makes me want to k!ll myself
",N
0,"Me watching this debate: https://t.co/zZBgdtBGs3
",N
0,"@Cernovich Are you putting weed in that cigar? You're not watching the same debate.
",N
0,"RT @lgr734: This debate is a fucking joke.
",N
0,"I didn't want to watch the debate before and now that my timeline is just people saying they're going to kiss makes me glad I'm not
",N
0,"ALL OF YALL WATCHING THE DEBATE LMAO *#!%*
",N
0,"RT @itskendallfrfr: please watch the presidential debate, educate yourselves, register to vote, show up and show out at the polls period.
",N
0,"RT @Troydan: Lmfao this debate is hilarious
",N
0,"Watching the debate... date night is going well
",N
0,"My brain watching this debate: https://t.co/6o6v5A4EMm
",N
0,"RT @BeauxTieSwag: We need a tag team debate with Presidents and VPs. Kamala would eat.
",L
0,"Turned off the debate after 10 minutes, waiting to watch good people talking about D&amp;D to make me feel better.
",N
0,"This debate is juicier than any trash reality tv show
",N
0,"FOX 23 News starts after the debate on WHPM-TV. https://t.co/enmf1wIw78
",N
0,"RT @ogchaseb: Naw yo this debate is outta pocket
",N
0,"PRESIDENTIAL DEBATE: TRUMP RESPONDS TO ACCUSATION OF TAX EVASION BY PAYING MILLIONS OF DOLLARS IN TAXES IN 2016 AND 2017
",R
0,"RT @BWJ777: no respect due, he has a huge responsibility and is not even close to up to it
",N
0,"RT @WakeUpCanada1: #debate
",N
0,"How do you have a bias mediator for a debate
",N
0,"does karl have more viewers than the debate ??
",N
0,"Clearly @ChrisWallace101 has absolutely no control over this debate. This is sad in every way possible. #Debate2020
",N
0,"[presidential debate]
",The text provided doesn't include a specific tweet to evaluate for bias. Could you please provide the tweet content?
0,"it's this debate for me
",N
0,"Chris Wallace is the Tim Peel of debate moderators
",R
0,"RT @kalenelson_: Trump pulled up for a Roast not a debate.
",L
0,"RT @drefanzor: Joe Biden before the debate
",N
0,"RT @dddianavar: ok so are we all drinking and watching the debate?
",N
0,"Dis presidential debate sum else lol
",N
0,"RT @drmistercody: Doing drugs before the debate in solidarity with the president and his opponent.
",N
0,"RT @itskeyon: how you fighting the person who's moderating the debate
",N
0,"RT @xoavaaaa: did anyone tell trump the debate was just against biden... not the mediator?
",L
0,"After this debate what series should we watch to relax: RoboCop or Jurassic Park? 
",N
0,"BREAKING NEWS: next debate they get shock collars #PresidentialDebate #2020debate #PresidentialDebate2020
",N
0,"not b1den actually demolishing trum* in the debate LMFAOO
",L
0,"Amen.
",N
0,"RT @ParkerKitHill: this debate is like putting my brain into a deep fryer omfg
",N
0,"RT @Alyssa_Milano: This debate is about good vs. evil. #Debates2020
",L
0,"Chris Wallace is absolutely a failure He can't enforce his own rules I feel like this should be last debate #PresidentialDebate2020
",R
0,"RT @taylorrlewiss2: there are not enough words to describe this debate. it is a mess
",N
0,"RT @swagonmywife: @Leafy the debate rn: https://t.co/TCRjNKcIdX
",N
0,"RT @KamVTV: Chris Wallace needs to quit cutting Trump off. He likes to debate Trump, not Joe Biden.
",R
0,"Since the beginning of this debate I still have no clue what Joe is talking about. #PresidentialDebate2020
",R
0,"RT @xsthsy: Whos winning This debate? 
",N
0,"RT @KGishFish: Tweeting jokes about the debate while democracy is on the verge of crumbling https://t.co/DgrxskQvM3
",N
0,"This debate is a joke. I can't believe I'm sitting here watching this.
",N
0,"Nigga live tweeting his own debate lmfaooo
",N
0,"RT @cmtswift: WHEN A MODERATOR HAS TO TELL TWO PRESIDENTAL CANDIDATES TO BE SERIOUS.....DURING A DEBATE...........
",N
0,"RT @lily1pdx: BRO THE PRESIDENTIAL DEBATE SOUNDING LIKE MY PARENTS THE DAY BEFORE THEY GOT DIVORCED
",N
0,"RT @tarastrong: Within the first five minutes. #RacistTrump https://t.co/iuvFH9eQno
",L
0,"RT @SavageBoston: This debate is embarrassing to the country. 
",N
0,"RT @baseballot: Trump calling the University of Delaware ""Delaware State"" is going to be an underrated moment of this debate
",L
0,"Well he said after the debate he was going to show the millions he pays in taxes #Debates2020
",N
0,"RT @MeidasTouch: Ready to play along with your debate bingo card? https://t.co/sj4EX8DMRE
",N
0,"RT @ginascarpa: Me tuning into the debate and exiting out of YouTube 10 seconds later https://t.co/9HwRsAIen5
",N
0,"My 9 yr old is busting out laughing on this debate...  seriously.
",N
0,"this debate is pure comedy
",N
0,"RT @WatchChad: Trump gets to debate Chris AND Joe.
",R
0,"im really sorry im tweeting like this... this debate that leads to the election is really important
",N
0,"RT @gabe_s355: The presidential debate: https://t.co/DJVamrf9Pm
",N
0,"Biden To Trump: ""Would You Shut Up, Man?""
",L
0,"if you can't deal with this debate, don't worry, @calebsaysthings got you
",N
0,"Live footage of me watching this debate (rooting for Joe out of necessity, but missing my #1) https://t.co/W9EtKYOlWB
",L
0,"i hate this planet
",N
0,"@RealJamesWoods Joe's Debate Eyes  Normal https://t.co/Jo7QIYsQv7
",N
0,"RT @BuzzFeed: Biden To Trump, ""Would You Shut Up, Man?"" https://t.co/JWinGDnICD
",N
0,"we rly in the twilight zone
",N
0,"Women in the Suburbs are really going to love this debate
",N
0,"This debate https://t.co/ceLn6OetKV
",N
0,"everyone live tweeting the debate this is a mess
",N
0,"How do I nominate myself to moderate the next debate?
",N
0,"These two old ass niggas boutta debate for two hours???
",N
0,"This debate gives me Stephen A and Kellerman vibes
",N
0,"#Biden speaks for #america
",N
0,"This guy would've CRUSHSED Trump in a debate. #Debates2020 https://t.co/YrSOgRjeff
",L
0,"@clevernugget I was thinking the same thing lol. I was really bouta click.. but this debate, man
",N
0,"What if DJ Vlad was the moderator for this debate??
",N
0,"RT @rymanbkool: Who had ""Big Ten football reference"" on their Presidential Debate bingo card?  #PresidentialDebate
",N
0,"RT @sreekyshooter: The debate is making it clear to me who should be our next president: the girl reading this :)
",N
0,"Anyone posting titty during the debate? Lmk.
",N
0,"Education as the expense of risking your life? haha u funnyyyy
",N
0,"this presidential debate is really like watching two high school students argue about drama
",N
0,"debate getting intense https://t.co/ui5axIVukW
",N
0,"This debate is a comedy show
",N
0,"Will Joe Biden wear an earpiece to CHEAT the US debate? Conspiracy theory sweeps web https://t.co/FOcbbYXwNd
",R
0,"Someone get Chris Wallace a spritz bottle to restore order to this debate.
",N
0,"ALREADY ON IT
",N
0,"I refuse to watch the debate but I'm glad to see you're all enjoying it as much as I expected.
",N
0,"RT @alessiam777: This debate https://t.co/3SQjfx5EXK
",N
0,"RT @JackMitchellLNK: NEBRASKA BROUGHT BACK BIG TEN FOOTBALL DEBATE OVER
",N
0,"@FoxNewsSunday Chris Wallace is an embarrassment to this debate!!!
",N
0,"RT @CaroleRadziwill: Eric Trump comes out as gay bi queer right before the debate. True or distraction?
",L
0,"This sound like a debate I had in 3rd grade about extending recess time smh
",N
0,"@MrTooDamnChris Reporters after the debate: ""I think Joe had a great performance""
",L
0,"RT @DrLupo: the meme harvest from this debate shall be plentiful
",N
0,"RT @HatefulEntoma: Trump took control of the debate over Wallace lmao
",R
0,"Joe only has laughs and desperate grips on the podium. Great debate prep during the lids.
",R
0,"Trump is killing this debate so no one remembers what was said, but instead, how much of a shit show it was.
",L
0,"RT @NerdyWonka: Chris Wallace should never be allowed to moderate another debate. 
",N
0,"RT @HughAcheson: Trump has decided to debate the moderator
",L
0,"The MVP of this debate and person who deserves a raise #Debate2020 #ChrisWallace #2020debate https://t.co/H4AUIu3cFG
",N
0,"The debate is on
",N
0,"Lying on a presidential debate should be perjury.
",N
0,"ok this ice cream looks delicious
",N
0,"This debate is hilarious
",N
0,"This debate is STUPID
",N
0,"Watching the debate and Trump is sweating and shows what a miserable person he is!
",L
0,"RT @laurenfano: Shout out to @ChrisChristie for his shit debate prep with his shit president
",L
0,"i dont think ive ever watched a presidential debate and im certainly not about to start in the year of our lord 2020
",N
0,"RT @donwinslow: Tragically @CNN has gone with Van Jones and Rick Santorum as their debate ""experts"" tonight.
",L
0,"this the trump vs biden debate https://t.co/4VihrqW1fO
",N
0,"Beer wasn't enough for this debate https://t.co/HqxWGeoemf
",N
0,"this debate is painful to watch..two grown men who are in the process of withering away acting like children on national tv i have no words
",N
0,"I literally cannot handle watching this debate.
",N
0,"HELP my tl was just the debate and then boom Shotaro thank u
",N
0,"How are what President Trump paid in taxes a debate question? Biased and an obvious attack! #Debates2020
",R
0,"RT @Breaking911: We have a Trump tweet during the debate...
",N
0,"#debate #Debates2020 #DebateTuesday. #Biden has been ineffective for 47 yrs. https://t.co/C1I7tp1ZaP
",R
0,"RT @Cernovich: Biden is winning the debate https://t.co/ZdCsGxlQPp
",N
0,"Why are we upholding the tradition of a debate at this point?
",N
0,"Biden is doing fine but Hilary did way better. #Debates2020 #debate #Debate2020 #HillaryClinton #HillaryClinton
",L
0,"@wonsangluvclub this debate is the saddest thing im seeing
",N
0,"RT @JENFL23: Bernie would be destroying Trump.
",L
0,"took a break from my beautiful kdrama to watch this debate hmmm
",N
